Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Canon EF 100mm f/2.8L Macro IS USM";;;RUB;28990;1;29500;0;89;53;14;22;"Компания Canon объявляет о выпуске высокопроизводительного объектива EF 100mm f/2.8L Macro IS USM, последнего продукта в престижной серии L – лидирующих моделей объективов Canon для профессиональной съёмки. Впервые в линейке объективов EOS модель EF 100mm f/2.8L Macro IS USM снабжена стабилизацией изображений на макрообъективе. Это позволяет фотографам делать восхитительные изображения при макросъёмке без использования штатива.";"<p>Высококачественный, среднего размера телефотообъектив для макросъёмки разработан для фотографов, которым необходимо высочайшее качество оптического изображения. Новая система Hybrid IS может корректировать изображения на 4 ступенях, компенсируя эффекты дрожания камеры при обычной съёмке. Керамические шарикоподшипники с низким коэффициентом трения поддерживают движущиеся элементы, что позволяет добиться изумительно плавного движения, необходимого для компенсации дрожания камеры при макросъёмке. Hybrid IS поправляет сдвиги при движении, что весьма проблематично сделать при макросъёмке, и угловое движение; фотографы могут воспользоваться преимуществами возможности корректировки до 2 ступеней при 1,0-кратном увеличении.</p><p>EF 100mm f/2.8L Macro IS USM оснащён элементами со сверхнизкой дисперсией (UD), которые корректируют цветовые аберрации для получения изображений с высоким контрастом и разрешением, при этом добавление покрытий Super Spectra эффективно устраняет ореолы и блики для получения великолепных фотографий. Девятилепестковая круглая диафрагма выделяет объекты на красивом размытом фоне, а быстрая фокусировка достигается при помощи бесшумного высокоскоростного ультразвукового мотора кольцевого типа с функцией автоматической фокусировки. Объектив также оснащен 3-позиционным ограничителем фокусировки для привязки диапазона фокусировки к выбранному объекту.</p><p>Как и другие продукты серии L, объектив имеет покрытие, защищающее от проникновения влаги и пыли. Находясь в линейке впереди модели EF 100mm f/2.8 USM Macro, объектив EF 100mm f/2.8L Macro IS USM работает со всеми аксессуарами, в том числе: с гнездом для штатива Tripod Mount D, адаптером для вспышки при макросъёмке 67, блендой объектива ET-73 и удлинительными тубусами EF12 II и EF25 II. Гнездо штатива легко крепится к объективу без необходимости использовать адаптер, что позволяет быстро переключаться между горизонтальным и вертикальным положением съёмки, не переориентируя камеру. Вспышки MR-14EX и MT-24EX можно подключить через адаптер для вспышки при макросъёмке.</p>";;1;Объективы;;;;;;canon-ef-100mm-f28l-macro-is-usm;;;;;;;;;"Canon EF";;;;;;;макрообъектив;постоянное;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/00/01/100/images/208/208.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lumia 920";;;RUB;15880;1;0;0;153;;;;"Триумф технологий";;;1;"Мобильные телефоны";Lumia;;;;;lumia-920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;"Qualcomm MSM8960";Да;Да;Да;Да;Да;32Gb;Да;"4.5 дюйм";1;классический;"Windows Phone";смартфон/коммуникатор;;;"MS Windows Phone 8";Micro-SIM;"зарядка телефона - Qi Wireless; дополнительная память - 7GB SkyDrive; оптика - Carl Zeiss Tessar; стекло - Corning Gorilla Glass";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Глушитель Toyota Carina II 87-92 2.0i 16V/58725";"Глушитель Toyota Carina II 87-92 2.0i 16V/58725";;RUB;1614,41;1;0;0;1398;1230;69;99;;;;1;Автозапчасти;;;;;;588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Edex;;;;;;;;;;;;;;;;;Toyota;58750;;;;;;;;;;;;;;;;;;;;;;;1743074421;26.51;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Наушники;;;;;;;;;;;;;"<p>Устройства для персонального прослушивания звуковой информации.</p>";;1;;;;;"Демо Webasyst, Наушники, headphones, уши, ушки";;headphones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Apple;;;;;;;;;;;;;;;1;;;;;;;apple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Apple EarPods";;;RUB;1990;1;0;0;1750;500;1000;250;"Наушники Apple EarPods с пультом дистанционного управления и микрофоном";"<h2>Информация о продукте</h2><p>В отличие от обычных наушников-капель круглой формы конструкция новых наушников Apple EarPods продиктована формой ушной раковины. Именно поэтому для многих пользователей они будут гораздо удобнее любых других наушников-капель.</p><p>Динамики наушников Apple EarPods специально спроектированы так, чтобы обеспечить минимальные потери звука и максимальную мощность. Прекрасное качество звука ставит их в один ряд с более дорогими наушниками.</p><p>Наушники Apple EarPods с пультом дистанционного управления и микрофоном оснащены также встроенным пультом, с помощью которого можно регулировать громкость, управлять воспроизведением музыки и видео и принимать и завершать звонки одним касанием шнура.</p><p><strong>Особенности</strong></p><ul><li>Разработаны компанией Apple</li><li>Более глубокий и насыщенный звук в нижних частотах</li><li>Более надёжная защита от пота и воды</li><li>Управление воспроизведением музыки и видео</li><li>Возможность принимать и завершать звонки</li></ul><p><strong>Что в комплекте?</strong></p><ul><li>Наушники Apple EarPods с пультом дистанционного управления и микрофоном</li><li>Чехол для хранения и транспортировки</li></ul><p><strong>Системные требования</strong><br></p><p><strong>Сведения о совместимости</strong></p><ul><li>Пульт дистанционного управления и микрофон поддерживаются всеми моделями iPod, iPhone и iPad (не во всех моделях поддерживаются функции увеличения и уменьшения громкости). Воспроизведение звука поддерживается всеми моделями iPod.</li><li>Требуется программное обеспечение версии 1.0.3 для iPod nano (4-го поколения), 2.0.1 для iPod classic (120 ГБ) и 2.2 или новее для iPod touch (2-го поколения).</li></ul>";;1;Наушники;Apple;;;;;1022;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Apple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;вкладыши;"с проводом";Да;;;Да;Да;динамические;"без крепления";Да;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/22/10/1022/images/846/846.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/22/10/1022/images/845/845.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/22/10/1022/images/847/847.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/22/10/1022/images/848/848.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/22/10/1022/images/849/849.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Apple ME186";;;RUB;5490;1;0;0;154;100;50;4;"Наушники-вкладыши Apple с пультом дистанционного управления и микрофоном";"<h2>Информация о продукте</h2><p>В наушниках-вкладышах Apple с пультом дистанционного управления и микрофоном вы услышите свою любимую музыку во всём богатстве звука. Они отличаются великолепными звуковыми характеристиками и звукоизоляцией, а также имеют кнопки для регулировки громкости, управления воспроизведением аудио и видео и даже приёма и сброса звонков на iPhone.</p><p><strong>Теперь ваша музыка зазвучит по-новому!</strong></p><p>Наденьте наушники-вкладыши Apple, выберите любимую песню и наслаждайтесь её новым великолепным звучанием. Хорошо знакомые вам записи будут звучать так, как будто вы слышите их в первый раз.</p><p><strong>Два динамика в каждом наушнике.</strong></p><p>Каждый наушник оснащён двумя отдельными высококачественными динамиками — низкочастотным и высокочастотным. Они обеспечивают яркое, детальное и точное воспроизведение с мощным басом для всех типов музыки.</p><p><strong>Отличная звукоизоляция.</strong></p><p>Благодаря мягким силиконовым насадкам трёх различных размеров наушники надёжно закрепляются в ушной раковине. Вставьте их в уши — и они создадут своеобразный барьер, защищающий от внешнего шума, что позволит вам целиком погрузиться в прослушивание любимых музыкальных записей.</p><p><strong>Возможность выбора.</strong></p><p>На проводе правого наушника расположена капсула управления с микрофоном и тремя кнопками. С помощью этого пульта дистанционного управления вы можете*:</p><ul><li>регулировать громкость кнопками «+» и «-»;</li><li>управлять воспроизведением музыки и видео (в том числе кнопками воспроизведения/паузы и перехода к предыдущей/следующей композиции) с помощью центральной кнопки;</li><li>записывать голосовые заметки на поддерживаемых устройствах;</li><li>отвечать на звонки и завершать их.</li></ul><p><strong>Вставки из стальной сетки для защиты от внешнего воздействия.</strong></p><p>Решетчатые вставки из нержавеющей стали защитят прецизионные акустические детали наушников от пыли и повреждений. Вставки можно снимать для чистки или замены. В комплект входит дополнительный набор вставок.</p><p><strong>Что в комплекте?</strong></p><ul><li>Наушники-вкладыши Apple с пультом дистанционного управления и микрофоном</li><li>Чехол для переноски</li><li>Три набора силиконовых насадок (маленькие, средние и большие)</li><li>Две дополнительные решётки</li></ul><p><strong>Спецификации</strong></p><ul><li>Частотная характеристика: от 5 Гц до 21 кГц</li><li>Импеданс: 23 Ом</li><li>Драйверы: Пользовательский комплект двусторонней структуры (динамик низких частот и динамик высоких частот в каждом наушнике)</li><li>Вес: 10,2 г</li><li>Длина кабеля: 1065 мм от аудиоразъёма до сплиттера; 330 мм до наушника</li></ul><p><strong>Системные требования</strong></p><ul><li>Пульт дистанционного управления с микрофоном поддерживается только iPod nano (4-го поколения или новее), iPod classic (120 ГБ/160 ГБ), iPod touch (2-го поколения или новее), iPod shuffle (4-го поколения), iPhone 3GS, iPhone 4 и iPad. Воспроизведение звука поддерживается всеми моделями iPod.</li><li>Требуется программное обеспечение версии 1.0.3 для iPod nano (4-го поколения), версии 2.0.1 для iPod classic (120 ГБ) и версии 2.2 или новее для iPod touch (2-го поколения).</li></ul>";;1;Наушники;Apple;;;;;1023;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Apple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"вставные (""затычки"")";"с проводом";Да;;закрытые;Да;Да;арматурные;"без крепления";Да;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/23/10/1023/images/850/850.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/10/1023/images/851/851.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/10/1023/images/852/852.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/10/1023/images/853/853.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/23/10/1023/images/854/854.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Audio-Technica;;;;;;;;;;;;;"<p>Японский производитель наушников</p>";;1;;;;;;;audio-technica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATH-ANC9;;;RUB;17090;1;22300;0;6;1;2;3;"C активным шумоподавлением";"<p>Закрытые наушники Audio-Technica ANC9 идеальны для путешествий – встроенная система активного шумоподавления обеспечит защиту от внешних шумов в дороге, снизив их уровень на 95%! А передовые технологии, используемые для точной передачи всех нюансов музыкальных произведений, гарантируют слушателю звук уровня Hi-Fi. Это усовершенствованная версия модели ANC7b, с более высоким уровнем шумоподавления!</p><p>Наушники ANC9 имеют разъём для аудио-шнуров, которые можно заменять. В комплекте идёт два шнура, причём один из них оснащён микрофоном и пультом управления громкостью и воспроизведением. Таким образом, с помощью такого шнура ANC9 превращаются в гарнитуру, работающую в паре с телефонами и смартфонами.</p><p>ANC9 идеальны для использования в шумных помещения и транспорте. Мягкие амбушюры обеспечивают комфортное прослушивание в течение длительного времени. Теперь ничто не сможет отвлечь вас от любимой музыки!</p><ul><li>Технология активного подавления шума QuietPoint – на 95%!</li><li>Три режима шумоподавления различной интенсивности: для самолета, офиса и учебы</li><li>Складная конструкция для удобной переноски</li><li>Поддержка съёмных шнуров (в т.ч. с микрофоном) - функция гарнитуры</li></ul>";lowprice;1;Наушники;;НДС;;;;1028;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audio-Technica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;мониторные;"с проводом";Да;Да;;;;динамические;оголовье;Да;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/28/10/1028/images/877/877.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/10/1028/images/874/874.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/10/1028/images/875/875.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/28/10/1028/images/876/876.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATH-M50x;;;RUB;10999;1;0;0;104;;;;"Audio-Technica - японское качество звука";"<p>АTH-M50x – продолжение самой популярной модели ATH-M50, из года в год востребованной как профессионалами, так и любителями качественной музыки. Модель разработана для профессионального мониторинга и микширования. Она по-прежнему передает кристаллический детализированный звук, но при этом имеет усовершенствованные амбушюры и комплект съёмных кабелей.</p><ul><li>Обновлённая классика</li><li>Съёмный шнур, три кабеля в комплекте</li><li>Поворотные чашки, складная конструкция</li><li>Сбалансированное студийное звучание в расширенном диапазоне частот, глубокие басы</li><li>Закрытое акустическое оформление с превосходной звукоизоляцией</li></ul><p><a href=""http://www.audio-technica.ru/articles/#13"" target=""_blank"">Обзор наушников Audio-Technica ATH-M50x</a></p>";;1;Наушники;;;;;;1024;;;;"<{черный,белый,синий/терракотовый,тёмно зелёный/коричневый}>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audio-Technica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;мониторные;"с проводом";Нет;;закрытые;;;динамические;оголовье;Да;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/856/856.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/855/855.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/858/858.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/857/857.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
